# DenseNet                                MobileNet               Xception
# tr_loss tr_acc val_loss val_acc tr_loss tr_acc val_loss val_acc tr_loss tr_acc val_loss val_acc
 1 0.3590  0.9030  1.3927  0.7223  1.1084  0.6694  0.6346  0.7874  0.2446  0.9412  0.8885  0.8614
 2 0.2306  0.9397  2.2308  0.6229  0.4812  0.8399  0.6508  0.8056  0.1154  0.9731  1.2407  0.8371
 3 0.1820  0.9526  2.2534  0.6720  0.3649  0.8771  0.5807  0.8239  0.1169  0.9757  1.1369  0.8393
 4 0.1580  0.9622  1.8160  0.7046  0.2884  0.9018  0.6094  0.8294  0.1266  0.9739  0.9552  0.8570
 5 0.1316  0.9635  2.4609  0.6389  0.2378  0.9200  0.5975  0.8399  0.0811  0.9817  0.8492  0.8675
 6 0.1179  0.9678  1.5316  0.7410  0.1615  0.9421  0.5966  0.8355  0.0718  0.9851  1.3546  0.8310
 7 0.1150  0.9678  1.7725  0.6946  0.1660  0.9447  0.6365  0.8371  0.1030  0.9785  1.1607  0.8366
 8 0.1316  0.9676  2.3263  0.7101  0.1479  0.9460  0.5963  0.8564  0.0964  0.9781  1.0291  0.8531
 9 0.1075  0.9727  1.1006  0.7786  0.1368  0.9546  0.5942  0.8553  0.0598  0.9881  1.0725  0.8597
10 0.1328  0.9667  2.7126  0.6389  0.1082  0.9669  0.6501  0.8504  0.0587  0.9882  0.9443  0.8642
11 0.1101  0.9722  1.3296  0.7686  0.1112  0.9652  0.7538  0.8266  0.1206  0.9784  0.8398  0.8686
12 0.1011  0.9738  1.4093  0.7388  0.1059  0.9659  0.8221  0.8261  0.0766  0.9837  0.9777  0.8487
13 0.1011  0.9740  1.1867  0.7697  0.1084  0.9637  0.6479  0.8404  0.0499  0.9888  0.9780  0.8603
14 0.0492  0.9866  1.3253  0.7819  0.1070  0.9645  0.7022  0.8410  0.0421  0.9910  1.5751  0.8089
15 0.1155  0.9699  1.9040  0.7046  0.0866  0.9742  0.7179  0.8487  0.0613  0.9892  1.0598  0.8592
16 0.1339  0.9660  1.9963  0.6985  0.1337  0.9520  0.7905  0.8294  0.0519  0.9908  0.9682  0.8680
17 0.1126  0.9696  1.4931  0.7333  0.0858  0.9734  0.7562  0.8393  0.0606  0.9890  1.4784  0.8045
18 0.1032  0.9736  3.4555  0.5776  0.0541  0.9821  0.8373  0.8382  0.0506  0.9902  0.8177  0.8763
19 0.0776  0.9806  1.1618  0.8045  0.0659  0.9799  0.8480  0.8288  0.0608  0.9886  0.9405  0.8697
20 0.0736  0.9822  1.4355  0.7659  0.0833  0.9734  0.9428  0.8299  0.0602  0.9892  0.9114  0.8581
