# DenseNet                                MobileNet               Xception
# tr_loss tr_acc val_loss val_acc tr_loss tr_acc val_loss val_acc tr_loss tr_acc val_loss val_acc
 1 1.1052  0.6725  2.3642  0.5526  1.0424  0.6940  0.5865  0.8147  0.8084  0.7684  0.4824  0.8635
 2 0.5597  0.8199  1.0347  0.7394  0.3981  0.8655  0.5335  0.8360  0.2902  0.9061  0.7929  0.8310
 3 0.3818  0.8812  1.8234  0.6240  0.2595  0.9143  0.4967  0.8443  0.2158  0.9304  0.8648  0.8145
 4 0.2795  0.9078  1.0830  0.7327  0.1993  0.9298  0.4521  0.8570  0.1335  0.9572  0.8418  0.8415
 5 0.2532  0.9203  1.2151  0.7189  0.1573  0.9462  0.5194  0.8448  0.1415  0.9543  0.7284  0.8426
 6 0.1951  0.9333  1.6275  0.6913  0.1201  0.9620  0.5594  0.8377  0.0949  0.9725  0.8744  0.8426
 7 0.2304  0.9319  2.0155  0.6096  0.0957  0.9698  0.5383  0.8515  0.0808  0.9765  0.8157  0.8222
 8 0.1579  0.9494  0.9066  0.7962  0.1082  0.9637  0.5065  0.8669  0.0862  0.9755  0.6666  0.8586
 9 0.1157  0.9633  2.3053  0.6543  0.1270  0.9604  0.6755  0.8239  0.1121  0.9667  0.5871  0.8785
10 0.1602  0.9500  2.1400  0.6284  0.0973  0.9683  0.6817  0.8388  0.0855  0.9781  0.8809  0.8349
11 0.1140  0.9643  1.1728  0.7383  0.1056  0.9610  0.5509  0.8553  0.0629  0.9825  0.9491  0.8294
12 0.1197  0.9624  1.1714  0.7703  0.0836  0.9734  0.6348  0.8382  0.0847  0.9770  1.0426  0.8189
13 0.0839  0.9716  1.2739  0.7697  0.0537  0.9840  0.6185  0.8575  0.0346  0.9902  0.8059  0.8548
14 0.0972  0.9686  1.2503  0.7598  0.0646  0.9786  0.6275  0.8531  0.0576  0.9848  0.8205  0.8570
15 0.1470  0.9529  1.6235  0.7167  0.0438  0.9861  0.7544  0.8415  0.0551  0.9868  0.9708  0.8520
16 0.1404  0.9636  1.0438  0.7780  0.0858  0.9730  0.6388  0.8515  0.0568  0.9852  0.8711  0.8570
17 0.0895  0.9734  1.0299  0.7940  0.0724  0.9797  0.5762  0.8708  0.0423  0.9893  0.7522  0.8675
18 0.0576  0.9846  1.0346  0.7962  0.0693  0.9755  0.7261  0.8404  0.0548  0.9841  0.6477  0.8769
19 0.0540  0.9816  1.2752  0.7581  0.0397  0.9863  0.6385  0.8653  0.0481  0.9860  0.7155  0.8697
20 0.1221  0.9641  2.2766  0.6604  0.0500  0.9813  0.7252  0.8465  0.0574  0.9840  0.6900  0.8796
