# DenseNet                                MobileNet               Xception
# tr_loss tr_acc val_loss val_acc tr_loss tr_acc val_loss val_acc tr_loss tr_acc val_loss val_acc
 1 0.2468  0.9386  1.4275  0.7438  1.0565  0.6798  0.6405  0.7819  0.2087  0.9595  0.8939  0.8631
 2 0.1199  0.9694  1.9763  0.7151  0.4452  0.8493  0.6114  0.8178  0.0374  0.9902  0.8714  0.8763
 3 0.1324  0.9680  1.5082  0.7206  0.3587  0.8806  0.4660  0.8399  0.0701  0.9857  1.0708  0.8658
 4 0.1283  0.9677  1.2415  0.7791  0.2564  0.9110  0.6295  0.8250  0.0576  0.9887  1.1355  0.8520
 5 0.0782  0.9807  1.6933  0.7206  0.2291  0.9221  0.5691  0.8476  0.1021  0.9834  1.0270  0.8592
 6 0.0794  0.9800  1.8097  0.7184  0.1847  0.9364  0.6686  0.8167  0.0390  0.9924  1.1437  0.8625
 7 0.0877  0.9783  1.5055  0.7471  0.1383  0.9513  0.7275  0.8349  0.0413  0.9924  1.1103  0.8437
 8 0.1212  0.9699  1.0916  0.7968  0.1631  0.9444  0.6388  0.8426  0.0999  0.9838  1.3093  0.8371
 9 0.0748  0.9825  2.0522  0.6963  0.1274  0.9572  0.5703  0.8504  0.0883  0.9840  0.9956  0.8609
10 0.0969  0.9786  1.3670  0.7753  0.1545  0.9491  0.8121  0.8112  0.0625  0.9872  0.9832  0.8664
11 0.0651  0.9824  1.7153  0.7366  0.0917  0.9707  0.6981  0.8371  0.0435  0.9905  1.0566  0.8603
12 0.0672  0.9868  1.2968  0.7973  0.1309  0.9566  0.6625  0.8487  0.1056  0.9808  1.1604  0.8454
13 0.0822  0.9804  1.7012  0.7598  0.0859  0.9702  0.8123  0.8349  0.0433  0.9917  0.9957  0.8675
14 0.0761  0.9828  2.1955  0.7024  0.0790  0.9718  0.6122  0.8597  0.0258  0.9949  1.2507  0.8515
15 0.0860  0.9798  1.2613  0.7858  0.0732  0.9765  0.7550  0.8321  0.0657  0.9921  1.0668  0.8669
16 0.1023  0.9771  1.6609  0.7432  0.0911  0.9711  0.7121  0.8647  0.0412  0.9933  1.0281  0.8542
17 0.0883  0.9775  1.2827  0.7769  0.1308  0.9627  0.6392  0.8592  0.0335  0.9953  1.0418  0.8702
18 0.0357  0.9892  1.1383  0.8294  0.0922  0.9725  0.7478  0.8493  0.0472  0.9933  1.1589  0.8426
19 0.0757  0.9822  1.2470  0.7846  0.0718  0.9759  0.7774  0.8448  0.0634  0.9902  1.2661  0.8581
20 0.0941  0.9780  1.1973  0.8001  0.0567  0.9807  0.8157  0.8487  0.0273  0.9942  1.2028  0.8620
